Datetime,String,String,String,String,Datetime,Datetime
date_of_origin,flight_designator,departure_airport,arrival_airport,tail_id,schedule_departure,schedule_arrival
29Dec2019,Q6 004054 ,SJO,CUN,N504VL,29Dec2019 13:35,29Dec2019 16:04
29Dec2019,Q6 004055 ,CUN,SJO,N504VL,29Dec2019 16:54,29Dec2019 19:09
29Dec2019,Q6 004068 ,GUA,MEX,N504VL,29Dec2019 22:25,30Dec2019 00:49
29Dec2019,Q6 004068 ,SJO,GUA,N504VL,29Dec2019 19:54,29Dec2019 21:40
29Dec2019,Q6 004069 ,GUA,SJO,N504VL,29Dec2019 04:27,29Dec2019 06:03
29Dec2019,Q6 004069 ,MEX,GUA,N504VL,29Dec2019 01:39,29Dec2019 03:42
29Dec2019,Q6 004083 ,IAD,SAL,N501VL,29Dec2019 09:52,29Dec2019 14:25
29Dec2019,Q6 004090 ,SAL,LAX,N503VL,29Dec2019 22:31,30Dec2019 04:01
29Dec2019,Q6 004090 ,SJO,SAL,N501VL,29Dec2019 20:00,29Dec2019 21:31
29Dec2019,Q6 004091 ,LAX,SAL,N503VL,29Dec2019 08:38,29Dec2019 13:45
29Dec2019,Q6 004091 ,SAL,SJO,N501VL,29Dec2019 15:45,29Dec2019 17:05
29Dec2019,Y4 000110 ,PBC,CUN,N512VL,29Dec2019 14:19,29Dec2019 16:26
29Dec2019,Y4 000111 ,CUN,PBC,N512VL,29Dec2019 11:30,29Dec2019 13:43
29Dec2019,Y4 000112 ,QRO,CUN,N512VL,29Dec2019 20:09,29Dec2019 22:30
29Dec2019,Y4 000113 ,CUN,QRO,N512VL,29Dec2019 17:02,29Dec2019 19:37
29Dec2019,Y4 000116 ,CUU,CUN,N520VL,29Dec2019 21:55,30Dec2019 00:57
29Dec2019,Y4 000117 ,CUN,CUU,N520VL,29Dec2019 17:36,29Dec2019 21:10
29Dec2019,Y4 000118 ,TGZ,CUN,N512VL,29Dec2019 00:01,29Dec2019 01:40
29Dec2019,Y4 000119 ,CUN,TGZ,N533VL,29Dec2019 21:36,29Dec2019 23:31
29Dec2019,Y4 000129 ,SJD,MTY,XAVOC,29Dec2019 01:15,29Dec2019 03:07
29Dec2019,Y4 000130 ,MEX,PXM,XAVLL,29Dec2019 12:57,29Dec2019 14:00
29Dec2019,Y4 000131 ,PXM,MEX,XAVLL,29Dec2019 14:30,29Dec2019 15:43
29Dec2019,Y4 000132 ,SLP,CUN,XAVRE,29Dec2019 16:25,29Dec2019 18:45
29Dec2019,Y4 000133 ,CUN,SLP,XAVRE,29Dec2019 19:25,29Dec2019 21:58
29Dec2019,Y4 000142 ,GDL,TAP,N505VL,29Dec2019 18:51,29Dec2019 21:07
29Dec2019,Y4 000143 ,TAP,GDL,N505VL,29Dec2019 21:42,30Dec2019 00:00
29Dec2019,Y4 000144 ,GDL,ACA,N517VL,29Dec2019 16:08,29Dec2019 17:28
29Dec2019,Y4 000145 ,ACA,GDL,N517VL,29Dec2019 18:04,29Dec2019 19:20
29Dec2019,Y4 000150 ,GDL,PXM,N510VL,29Dec2019 13:30,29Dec2019 15:08
29Dec2019,Y4 000151 ,PXM,GDL,N510VL,29Dec2019 15:38,29Dec2019 17:15
29Dec2019,Y4 000159 ,OAX,GDL,XAVRH,29Dec2019 03:07,29Dec2019 04:46
29Dec2019,Y4 000162 ,CUL,SJD,N537VL,29Dec2019 14:31,29Dec2019 15:37
29Dec2019,Y4 000163 ,SJD,CUL,N537VL,29Dec2019 16:12,29Dec2019 17:06
29Dec2019,Y4 000164 ,CUL,MXL,N541VL,29Dec2019 19:06,29Dec2019 21:12
29Dec2019,Y4 000165 ,MXL,CUL,N541VL,29Dec2019 21:52,29Dec2019 23:47
29Dec2019,Y4 000178 ,MEX,MTY,XAVOD,29Dec2019 03:09,29Dec2019 04:52
29Dec2019,Y4 000179 ,MTY,MEX,XAVOD,29Dec2019 00:46,29Dec2019 02:28
29Dec2019,Y4 000180 ,MEX,MTY,N539VL,29Dec2019 12:55,29Dec2019 14:38
29Dec2019,Y4 000181 ,MTY,MEX,XAVOC,29Dec2019 11:46,29Dec2019 13:28
29Dec2019,Y4 000182 ,MEX,MTY,XAVOC,29Dec2019 14:20,29Dec2019 16:03
29Dec2019,Y4 000183 ,MTY,MEX,N539VL,29Dec2019 15:08,29Dec2019 16:50
29Dec2019,Y4 000186 ,MEX,MTY,N539VL,29Dec2019 21:12,29Dec2019 22:55
29Dec2019,Y4 000187 ,MTY,MEX,N539VL,29Dec2019 23:25,30Dec2019 01:07
29Dec2019,Y4 000190 ,MTY,CUN,XAVOD,29Dec2019 11:58,29Dec2019 14:18
29Dec2019,Y4 000191 ,CUN,MTY,XAVOC,29Dec2019 19:28,29Dec2019 22:04
29Dec2019,Y4 000194 ,MTY,MID,XAVRH,29Dec2019 21:43,29Dec2019 23:45
29Dec2019,Y4 000195 ,MID,MTY,XAVRH,29Dec2019 18:52,29Dec2019 21:12
29Dec2019,Y4 000196 ,MTY,PVR,XAVOC,29Dec2019 23:11,30Dec2019 00:54
29Dec2019,Y4 000210 ,GUA,CUN,XAVLM,29Dec2019 20:22,29Dec2019 22:12
29Dec2019,Y4 000211 ,CUN,GUA,XAVLM,29Dec2019 17:48,29Dec2019 19:29
29Dec2019,Y4 000212 ,MTY,CUN,XAVLM,29Dec2019 14:32,29Dec2019 16:52
29Dec2019,Y4 000213 ,CUN,MTY,XAVLM,29Dec2019 23:02,30Dec2019 01:38
29Dec2019,Y4 000226 ,MTY,CUN,XAVOC,29Dec2019 16:33,29Dec2019 18:53
29Dec2019,Y4 000228 ,MTY,CUN,XAVOD,29Dec2019 18:21,29Dec2019 20:41
