Datetime,String,String,String,String,Datetime,Datetime,String,String,String,String,String
date_of_origin,flight_designator,departure_airport,arrival_airport,service_type,schedule_departure,schedule_arrival,aircraft_type,status_code,aircraft_owner,cockpit_employer,cabin_employer
29Dec2019,Y4 000742 ,MEX,GDL,J,29Dec2019 22:08,29Dec2019 23:36,32A,S,Y4,Y4,Y4
29Dec2019,Q6 004083 ,SAL,SJO,J,29Dec2019 15:45,29Dec2019 17:05,32A,C,Q6,Q6,Q6
29Dec2019,Y4 000609 ,LAP,MEX,J,29Dec2019 15:13,29Dec2019 17:32,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000590 ,TIJ,MZT,J,29Dec2019 16:27,29Dec2019 18:46,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000728 ,MEX,GDL,J,29Dec2019 01:54,29Dec2019 03:22,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000415 ,CUL,TIJ,J,29Dec2019 04:03,29Dec2019 06:21,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000580 ,TIJ,LAP,J,29Dec2019 23:23,30Dec2019 01:19,32A,S,Y4,Y4,Y4
29Dec2019,Q6 004068 ,GUA,MEX,J,29Dec2019 22:25,30Dec2019 00:49,319,S,Q6,Q6,Q6
29Dec2019,Y4 000738 ,MEX,GDL,J,29Dec2019 13:55,29Dec2019 15:23,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000299 ,DFW,DGO,J,29Dec2019 02:21,29Dec2019 04:49,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000752 ,MEX,MXL,J,29Dec2019 02:39,29Dec2019 06:16,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000732 ,MEX,GDL,J,29Dec2019 04:01,29Dec2019 05:29,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000144 ,GDL,ACA,J,29Dec2019 16:08,29Dec2019 17:28,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000273 ,HMO,CUU,J,29Dec2019 23:14,30Dec2019 00:19,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000623 ,MXL,GDL,J,29Dec2019 07:22,29Dec2019 10:07,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000451 ,SJD,TIJ,J,29Dec2019 21:14,29Dec2019 23:31,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000248 ,BJX,SJD,J,29Dec2019 17:41,29Dec2019 19:33,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000915 ,LAX,GDL,J,29Dec2019 03:33,29Dec2019 06:46,32A,S,Y4,Y4,Y4
29Dec2019,Y4 005551 ,PVR,TIJ,J,29Dec2019 23:35,30Dec2019 02:30,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000195 ,MID,MTY,J,29Dec2019 18:52,29Dec2019 21:12,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000773 ,TGZ,MEX,J,29Dec2019 16:12,29Dec2019 18:07,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000718 ,MEX,CUN,J,29Dec2019 22:10,30Dec2019 00:28,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000119 ,CUN,TGZ,J,29Dec2019 21:36,29Dec2019 23:31,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000405 ,BJX,TIJ,J,29Dec2019 12:05,29Dec2019 15:22,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000990 ,MLM,OAK,J,29Dec2019 16:35,29Dec2019 21:15,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000799 ,MZT,MEX,J,29Dec2019 21:47,29Dec2019 23:36,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000400 ,TIJ,BJX,J,29Dec2019 10:01,29Dec2019 12:56,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000113 ,CUN,QRO,J,29Dec2019 17:02,29Dec2019 19:37,32A,S,Y4,Y4,Y4
29Dec2019,Y4 005408 ,TIJ,BJX,J,29Dec2019 11:15,29Dec2019 14:10,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000133 ,CUN,SLP,J,29Dec2019 19:25,29Dec2019 21:58,32N,S,Y4,Y4,Y4
29Dec2019,Y4 005936 ,GDL,ONT,J,29Dec2019 02:05,29Dec2019 05:30,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000262 ,CUL,CJS,J,29Dec2019 00:52,29Dec2019 02:26,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000560 ,TIJ,LMM,J,29Dec2019 18:48,29Dec2019 20:40,32N,S,Y4,Y4,Y4
29Dec2019,Y4 005734 ,MEX,GDL,J,29Dec2019 03:01,29Dec2019 04:29,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000722 ,MEX,CUN,J,29Dec2019 00:08,29Dec2019 02:26,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000731 ,GDL,MEX,J,29Dec2019 12:14,29Dec2019 13:45,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000707 ,CUN,MEX,J,29Dec2019 03:06,29Dec2019 05:40,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000935 ,ORD,MEX,J,29Dec2019 02:48,29Dec2019 07:36,320,S,Y4,Y4,Y4
29Dec2019,Y4 000461 ,PBC,TIJ,J,29Dec2019 21:08,30Dec2019 01:00,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000639 ,CUN,BJX,J,29Dec2019 22:47,30Dec2019 01:27,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000762 ,MEX,HMO,J,29Dec2019 23:06,30Dec2019 02:01,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000679 ,CUU,GDL,J,29Dec2019 16:26,29Dec2019 18:15,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000772 ,MEX,TGZ,J,29Dec2019 13:48,29Dec2019 15:33,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000741 ,HMO,GDL,J,29Dec2019 15:41,29Dec2019 17:47,32A,S,Y4,Y4,Y4
29Dec2019,Y4 005803 ,UPN,TIJ,J,29Dec2019 02:16,29Dec2019 05:34,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000946 ,MLM,MDW,J,29Dec2019 18:23,29Dec2019 22:18,319,S,Y4,Y4,Y4
29Dec2019,Y4 005987 ,DEN,GDL,J,29Dec2019 20:25,30Dec2019 00:05,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000482 ,TIJ,SLP,J,29Dec2019 13:00,29Dec2019 15:47,32N,S,Y4,Y4,Y4
29Dec2019,Y4 005937 ,ONT,GDL,J,29Dec2019 07:10,29Dec2019 10:12,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000410 ,TIJ,CUL,J,29Dec2019 16:24,29Dec2019 18:27,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000546 ,TIJ,HUX,J,29Dec2019 21:30,30Dec2019 01:20,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000425 ,GDL,TIJ,J,29Dec2019 23:44,30Dec2019 02:57,321,S,Y4,Y4,Y4
29Dec2019,Y4 000821 ,MEX,TIJ,J,29Dec2019 03:16,29Dec2019 07:10,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000674 ,GDL,MTY,J,29Dec2019 02:18,29Dec2019 03:51,21A,S,Y4,Y4,Y4
