Mean	Median	StdDev	Max	Min	Entropy	Hamming
90727.7449935675	90727.7449935675	0.0000000000	93682.3983162642	90727.7449935675	0.8050621526	1788.3200000000	
88100.4905551672	88100.4905551672	0.0000000000	89871.0414886475	88100.4905551672	0.6681993571	1514.7800000000	
87383.1781387329	87383.1781387329	0.0000000000	88196.4710444212	87383.1781387329	0.5361059533	891.5200000000	
86817.9581880569	86817.9581880569	0.0000000000	87289.4345134497	86817.9581880569	0.3453376031	614.6800000000	
86414.9930030107	86414.9930030107	0.0000000000	86679.9412220716	86414.9930030107	0.2783653043	417.1600000000	
86048.2757240534	86048.2757240534	0.0000000000	86255.9541553259	86048.2757240534	0.1820369189	214.5200000000	
85829.0465861559	85829.0465861559	0.0000000000	86017.9698556662	85829.0465861559	0.1567997670	212.2400000000	
85710.0798338652	85710.0798338652	0.0000000000	85790.2976900339	85710.0798338652	0.0867171364	138.3600000000	
85671.5008109808	85671.5008109808	0.0000000000	85699.0229159594	85671.5008109808	0.0477805909	33.6600000000	
85565.1596218348	85565.1596218348	0.0000000000	85647.8026956320	85565.1596218348	0.0550967928	52.4600000000	
85512.8814429045	85512.8814429045	0.0000000000	85550.4649728537	85512.8814429045	0.0301672270	21.8400000000	
85492.7527993917	85492.7527993917	0.0000000000	85511.6895407438	85492.7527993917	0.0183085943	7.9000000000	
85458.0986291170	85458.0986291170	0.0000000000	85487.8063827753	85458.0986291170	0.0139857386	5.5600000000	
85432.5942188501	85432.5942188501	0.0000000000	85456.6915959120	85432.5942188501	0.0166957001	11.3800000000	
85412.3272150755	85412.3272150755	0.0000000000	85429.6690076590	85412.3272150755	0.0163815660	6.1200000000	
85406.9735795259	85406.9735795259	0.0000000000	85409.1548830271	85406.9735795259	0.0030797604	1.0400000000	
85388.7235552073	85388.7235552073	0.0000000000	85400.9161680937	85388.7235552073	0.0155970372	4.9200000000	
85378.0742853880	85378.0742853880	0.0000000000	85379.8503547907	85378.0742853880	0.0010855001	0.1800000000	
85369.7794526815	85369.7794526815	0.0000000000	85371.5555220842	85369.7794526815	0.0005370546	0.5000000000	
85342.5764948130	85342.5764948130	0.0000000000	85365.8871024847	85342.5764948130	0.0055340923	2.6400000000	
85324.1888254881	85324.1888254881	0.0000000000	85335.1439565420	85324.1888254881	0.0058525710	0.2000000000	
85294.2412763834	85294.2412763834	0.0000000000	85316.1378830671	85294.2412763834	0.0129199029	1.7800000000	
85291.7340248823	85291.7340248823	0.0000000000	85294.2412763834	85291.7340248823	0.0063223990	0.6600000000	
85274.8740702868	85274.8740702868	0.0000000000	85281.9826275110	85274.8740702868	0.0124038027	1.6800000000	
85263.4181469679	85263.4181469679	0.0000000000	85268.6180680990	85263.4181469679	0.0004206662	0.6600000000	
85250.2195686102	85250.2195686102	0.0000000000	85263.4181469679	85250.2195686102	0.0016423045	0.7000000000	
85239.9348944426	85239.9348944426	0.0000000000	85244.4619983435	85239.9348944426	0.0046497330	3.6600000000	
85228.0504375696	85228.0504375696	0.0000000000	85233.7028235197	85228.0504375696	0.0072817735	0.9000000000	
85199.8263627291	85199.8263627291	0.0000000000	85211.3940447569	85199.8263627291	0.0017791979	0.8000000000	
85176.4373987913	85176.4373987913	0.0000000000	85199.2588847876	85176.4373987913	0.0017591494	2.7600000000	
85168.9360707998	85168.9360707998	0.0000000000	85172.7339297533	85168.9360707998	0.0044443789	0.6800000000	
85158.4207743406	85158.4207743406	0.0000000000	85168.6412960291	85158.4207743406	0.0119394494	2.8200000000	
85151.9837826490	85151.9837826490	0.0000000000	85153.9395540953	85151.9837826490	0.0006727539	0.1800000000	
85148.9997774363	85148.9997774363	0.0000000000	85150.4267007113	85148.9997774363	0.0044151894	1.0000000000	
85145.7623392344	85145.7623392344	0.0000000000	85146.0571140051	85145.7623392344	0.0002894216	0.1800000000	
85144.2472368479	85144.2472368479	0.0000000000	85145.6765323877	85144.2472368479	0.0002620417	0.0000000000	
85137.5013321638	85137.5013321638	0.0000000000	85144.2472368479	85137.5013321638	0.0032050398	0.0000000000	
85135.8555585146	85135.8555585146	0.0000000000	85136.0965639353	85135.8555585146	0.0004334136	0.6800000000	
85124.0629702806	85124.0629702806	0.0000000000	85124.6095091105	85124.0629702806	0.0020760642	0.2000000000	
85124.0629702806	85124.0629702806	0.0000000000	85124.0629702806	85124.0629702806	0.0000000000	0.0000000000	
85120.4167991877	85120.4167991877	0.0000000000	85124.0629702806	85120.4167991877	0.0031227088	0.5000000000	
85098.9157289267	85098.9157289267	0.0000000000	85117.4016326666	85098.9157289267	0.0112148281	1.5200000000	
85095.8304435015	85095.8304435015	0.0000000000	85097.9455083609	85095.8304435015	0.0021149991	0.0000000000	
85095.5928951502	85095.5928951502	0.0000000000	85095.8304435015	85095.5928951502	0.0007642883	0.0000000000	
85089.6585017443	85089.6585017443	0.0000000000	85095.5928951502	85089.6585017443	0.0024975610	1.5600000000	
85070.0566977262	85070.0566977262	0.0000000000	85084.3163758516	85070.0566977262	0.0144364821	2.5800000000	
85068.9304679632	85068.9304679632	0.0000000000	85068.9304679632	85068.9304679632	0.0000000000	0.0000000000	
85065.5958205462	85065.5958205462	0.0000000000	85068.9304679632	85065.5958205462	0.0003569289	0.5600000000	
85062.5431209803	85062.5431209803	0.0000000000	85065.5958205462	85062.5431209803	0.0020623782	0.6600000000	
85061.1436873674	85061.1436873674	0.0000000000	85061.3582640886	85061.1436873674	0.0002167068	0.3400000000	
85059.7697705030	85059.7697705030	0.0000000000	85060.0322693586	85059.7697705030	0.0003441814	0.5400000000	
85041.3119643927	85041.3119643927	0.0000000000	85059.7697705030	85041.3119643927	0.0073261002	3.5400000000	
85031.6739350557	85031.6739350557	0.0000000000	85034.1764360666	85031.6739350557	0.0031849196	0.0400000000	
85025.0220686197	85025.0220686197	0.0000000000	85029.0904253721	85025.0220686197	0.0016257101	0.0000000000	
85009.8771959543	85009.8771959543	0.0000000000	85025.0220686197	85009.8771959543	0.0135471530	1.5600000000	
85004.5704096556	85004.5704096556	0.0000000000	85008.8582307100	85004.5704096556	0.0017805693	0.5200000000	
84998.3869701624	84998.3869701624	0.0000000000	85004.4645041227	84998.3869701624	0.0031398289	0.2400000000	
84997.9422360659	84997.9422360659	0.0000000000	84998.3869701624	84997.9422360659	0.0008031046	0.0000000000	
84997.2745448351	84997.2745448351	0.0000000000	84997.9422360659	84997.2745448351	0.0004334136	0.6800000000	
84996.7615455389	84996.7615455389	0.0000000000	84997.2745448351	84996.7615455389	0.0009629309	0.1400000000	
84990.6691044569	84990.6691044569	0.0000000000	84994.9765235186	84990.6691044569	0.0060189315	0.1800000000	
84990.2592808008	84990.2592808008	0.0000000000	84990.6691044569	84990.2592808008	0.0035134796	0.0000000000	
