Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
90715.0510869424	90744.0602704883	581.3802415050	95686.2807081143	90715.0510869424	0.8421164375	2177.3740000000	0.0000000000	
88077.6141294837	87982.8133761883	441.9086146967	92251.7205520471	88077.6141294837	0.7669019507	2032.7346666667	0.0000000000	
86948.9839124680	86861.8946954608	514.3697201995	90419.1037487984	86948.9839124680	0.7028434943	1893.4893333333	0.0000000000	
86297.3191282153	86231.9113910198	510.8154675725	89225.0794058045	86297.3191282153	0.6577338562	1784.9940000000	0.0000000000	
85805.4377934337	85796.7249512672	480.0263485523	88458.5987782478	85805.4377934337	0.6221265480	1694.9426666667	0.0000000000	
85449.8438829184	85415.5832141638	477.8270067738	87840.9758427739	85449.8438829184	0.5892860158	1615.3180000000	0.0000000000	
85244.3550994992	85253.0653759837	477.7003886252	87597.2353617350	85244.3550994992	0.5629087660	1535.6666666667	0.0000000000	
85058.3376472195	85006.9888606668	444.7754643239	87299.1924540202	85058.3376472195	0.5385386588	1464.8093333333	0.0000000000	
84894.9712215861	84939.1529157758	428.8008991393	86973.3379029234	84894.9712215861	0.5159103314	1393.8740000000	0.0000000000	
84781.2441378832	84737.0022147894	414.8679779119	86801.7287140091	84781.2441378832	0.4971004080	1332.9880000000	0.0000000000	
84685.4242947698	84634.7560867667	400.6147579093	86669.0967315435	84685.4242947698	0.4804673116	1277.9853333333	0.0000000000	
84608.2200127840	84559.2940494418	392.8918693790	86487.3166736960	84608.2200127840	0.4656359708	1229.6200000000	0.0333333333	
84542.2283544143	84542.4094125628	392.2217859309	86392.2624908884	84542.2283544143	0.4540887217	1195.5400000000	0.0666666667	
84485.5590778589	84465.2333229780	376.7572533064	86267.8404092789	84485.5590778589	0.4407097013	1153.8406666667	0.0666666667	
84435.8202747504	84429.7118932009	367.2665934145	86212.7282398939	84435.8202747504	0.4298569131	1117.5506666667	0.0666666667	
84386.2687341372	84381.2790334225	348.9978855430	86159.3619976441	84386.2687341372	0.4204943815	1085.2053333333	0.1000000000	
84358.7137570977	84345.7122534513	342.6020849244	86045.0751372178	84358.7137570977	0.4112243532	1056.9113333333	0.1000000000	
84327.6788177093	84309.0000092983	345.8036458388	85909.7785194715	84327.6788177093	0.4036731458	1030.8486666667	0.1000000000	
84298.2447157304	84274.5188087225	341.1355209764	85849.8136925697	84298.2447157304	0.3957117688	1004.5120000000	0.1000000000	
84278.1437662244	84254.0225371718	334.9995044228	85805.9563092391	84278.1437662244	0.3889321606	979.3306666667	0.1333333333	
84242.9022186995	84226.8196105957	317.5264321818	85763.3406651020	84242.9022186995	0.3830201620	958.6240000000	0.1333333333	
84219.7941074769	84221.5665653348	322.4459917838	85721.4024149378	84219.7941074769	0.3765263959	939.0033333333	0.1666666667	
84201.4851140976	84198.2015728951	317.5025393182	85652.7061323325	84201.4851140976	0.3710777785	917.8073333333	0.2000000000	
84180.3428725402	84161.2420052290	315.5189607781	85620.9988281131	84180.3428725402	0.3659756454	898.2406666667	0.2333333333	
84163.2512743274	84146.7041879892	317.5384091091	85571.7406810323	84163.2512743274	0.3606083395	879.5806666667	0.2333333333	
84148.3845512072	84139.8579254746	314.4625440239	85555.5176535249	84148.3845512072	0.3565018716	864.8693333333	0.2666666667	
84137.6875231663	84135.6928586960	315.1060211370	85531.1173383395	84137.6875231663	0.3524660958	848.3266666667	0.3000000000	
84125.4599304994	84126.5173524618	311.8503959005	85498.8504149516	84125.4599304994	0.3483473345	836.6013333333	0.3000000000	
84115.9151789546	84119.8968768120	308.9290289994	85477.0997697115	84115.9151789546	0.3445210296	824.6026666667	0.3000000000	
84103.1760811806	84106.5370798111	308.5805005220	85459.3948401014	84103.1760811806	0.3405076495	810.1726666667	0.3000000000	
84092.7814662457	84103.6926716566	304.8053958922	85444.9295523763	84092.7814662457	0.3370076350	799.5946666667	0.3000000000	
84080.1997279127	84088.9974981546	306.4022263869	85429.0412527323	84080.1997279127	0.3334472626	785.8053333333	0.3666666667	
84066.4399644732	84084.5290496945	303.3346563242	85413.4339762727	84066.4399644732	0.3303609331	776.0913333333	0.3666666667	
84060.3962089618	84082.6827123761	302.8292261390	85402.2471927603	84060.3962089618	0.3274307741	764.6973333333	0.4000000000	
84050.5372547110	84066.7809858918	298.8282091565	85384.7943537434	84050.5372547110	0.3244856055	754.3093333333	0.4333333333	
84041.3952337702	84057.1469500661	298.3181317728	85377.1617226799	84041.3952337702	0.3214611139	742.7020000000	0.4333333333	
84036.3280747334	84054.2196288705	297.0545870949	85361.3597165545	84036.3280747334	0.3190327343	734.0900000000	0.4333333333	
84030.0768185655	84049.0053027868	294.7286178387	85351.0918410619	84030.0768185655	0.3162208199	725.4753333333	0.4333333333	
84021.6929724813	84045.6592395902	291.1194597189	85338.1770318747	84021.6929724813	0.3137198854	716.8820000000	0.4333333333	
84015.3516692917	84028.6039173603	290.6534852577	85325.5314782262	84015.3516692917	0.3112716492	708.3033333333	0.4333333333	
84011.0574826598	84027.7306899428	290.7600954301	85285.2088591456	84011.0574826598	0.3086458299	699.3700000000	0.4333333333	
84002.9262349010	84027.7306899428	286.7785402943	85264.2350159089	84002.9262349010	0.3061196061	691.3773333333	0.4333333333	
83999.0059072773	84022.3757758737	285.7616279889	85255.0318011642	83999.0059072773	0.3037372194	682.9100000000	0.4333333333	
83992.1905322870	84015.3214320540	281.4990293583	85242.5978689392	83992.1905322870	0.3016779758	675.9140000000	0.4666666667	
