Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
90893.5055512190	90984.5995828509	699.6823559261	98168.2379931211	90893.5055512190	0.8462532968	2205.7873333333	0.0000000000	
88425.3338194887	88455.5207088590	551.0184312180	94398.2264042894	88425.3338194887	0.7586334091	2063.0300000000	0.0000000000	
86948.8760948181	86971.8218252063	487.1809485684	91062.8827543060	86948.8760948181	0.6681614104	1902.8480000000	0.0000000000	
86162.1244121591	86169.2991867661	421.9491521944	89435.2956291040	86162.1244121591	0.6037941295	1766.1046666667	0.0000000000	
85624.1339914997	85662.0516702533	346.8050853630	88634.7412378589	85624.1339914997	0.5605436359	1661.8233333333	0.0000000000	
85322.7337764700	85393.1050136685	326.2458925543	88331.0375894109	85322.7337764700	0.5310002364	1586.8540000000	0.0000000000	
85090.0143810113	85097.6963698864	332.3900954132	88032.7722234527	85090.0143810113	0.5048513220	1515.6280000000	0.0000000000	
84917.5087254246	84874.5437785983	309.7387583207	87691.3490300377	84917.5087254246	0.4826010642	1453.1620000000	0.0000000000	
84805.4499547680	84825.3470301628	295.2147842275	87647.5625176231	84805.4499547680	0.4695772308	1411.5213333333	0.0000000000	
84707.5319608053	84678.1145200133	316.8019023490	87467.3968616128	84707.5319608053	0.4570762243	1371.6266666667	0.0333333333	
84623.9395254850	84600.7168143988	316.9997215493	87787.5922787189	84623.9395254850	0.4482848419	1342.9553333333	0.0333333333	
84564.3666758140	84571.7092961073	314.8596387907	87535.8919953306	84564.3666758140	0.4394500307	1315.5473333333	0.0666666667	
84516.4952944716	84546.2409347296	310.0045745920	87429.7203520934	84516.4952944716	0.4315295203	1289.5700000000	0.1000000000	
84476.6254611810	84520.8626911044	310.8966489306	87629.3193057179	84476.6254611810	0.4255441178	1269.7120000000	0.1000000000	
84432.6836301883	84456.6382974386	306.3477703989	87485.4807735483	84432.6836301883	0.4224975094	1262.1146666667	0.1000000000	
84402.2068180640	84423.4208166599	310.7898001023	87177.0417732000	84402.2068180640	0.4181153052	1244.8766666667	0.1666666667	
84376.5460935235	84415.3206542134	316.5271082844	87339.4605532289	84376.5460935235	0.4143235197	1230.9446666667	0.2000000000	
84345.9472099940	84373.6384436488	315.5324431504	87391.5344440937	84345.9472099940	0.4110438960	1222.9573333333	0.2333333333	
84326.1817801992	84367.0390084386	318.8627992678	87402.8925138712	84326.1817801992	0.4042493109	1196.6413333333	0.2333333333	
84302.6140809059	84343.1740567088	323.4275615961	87227.5371127327	84302.6140809059	0.4057724144	1198.1353333333	0.2333333333	
84288.9162713289	84337.4274671078	321.0199215670	87334.1977968812	84288.9162713289	0.4037835278	1190.4080000000	0.2333333333	
84275.6615660588	84328.7197306752	319.9857450765	87087.4305973450	84275.6615660588	0.4011325378	1184.8720000000	0.2333333333	
84259.5313733816	84328.7197306752	319.5263905709	87376.6983519991	84259.5313733816	0.3999396304	1177.7800000000	0.2666666667	
84247.2523139914	84302.3787572980	322.8917604360	87376.2752051155	84247.2523139914	0.3957132789	1161.0320000000	0.2666666667	
84236.5945598483	84299.4153842330	325.4568370744	87334.6653164427	84236.5945598483	0.3958942144	1160.3946666667	0.3000000000	
84217.5809706251	84299.4153842330	328.3249653543	87213.5517238577	84217.5809706251	0.3917523478	1149.0760000000	0.3000000000	
84206.9297863046	84279.6180412173	330.1916259875	87200.7372590899	84206.9297863046	0.3936813109	1150.6713333333	0.3000000000	
84201.5897731980	84274.2709890008	330.8325229090	87318.7967935205	84201.5897731980	0.3937249389	1153.5646666667	0.3000000000	
84191.5357232094	84268.3283001184	334.1711177199	87250.5815631151	84191.5357232094	0.3919271062	1146.2420000000	0.3000000000	
84181.9003375371	84258.8171780109	327.5885942460	87325.4965331157	84181.9003375371	0.3919963484	1139.0700000000	0.3000000000	
84173.2734767596	84258.8171780109	325.8027865229	87401.8849401673	84173.2734767596	0.3899130954	1136.9573333333	0.3333333333	
84165.6456622481	84251.7444103956	324.7749453729	87183.9104737838	84165.6456622481	0.3913855663	1139.9886666667	0.3333333333	
84159.7386312485	84236.7332652211	322.9148331013	87326.4003540079	84159.7386312485	0.3896913643	1134.3713333333	0.3666666667	
84155.1739762227	84232.3601767421	323.0589480937	87273.2007328669	84155.1739762227	0.3874254896	1128.9560000000	0.3666666667	
84151.0314222177	84232.3601767421	322.5659774200	87160.4297760129	84151.0314222177	0.3867218586	1122.0520000000	0.3666666667	
84145.8061107993	84231.2354803085	319.7325403490	87227.5678655505	84145.8061107993	0.3860812095	1119.2826666667	0.3666666667	
84143.1280142069	84223.2937455177	319.0225888470	87519.2418055733	84143.1280142069	0.3867131324	1121.0353333333	0.3666666667	
84136.5515817205	84214.8698613048	315.0395291748	87299.5930512746	84136.5515817205	0.3855175690	1118.0953333333	0.4000000000	
84133.6503832539	84214.8698613048	316.1710208769	87254.7270104289	84133.6503832539	0.3850213746	1112.1866666667	0.4666666667	
84129.3606810768	84214.8698613048	317.6760705144	87204.4250278672	84129.3606810768	0.3846996561	1114.5100000000	0.4666666667	
84125.0448084871	84208.5213333368	317.7946784796	87322.1535590291	84125.0448084871	0.3827737651	1107.5126666667	0.4666666667	
84121.5347934763	84202.9024124146	316.5651030848	87293.1163131197	84121.5347934763	0.3853233515	1114.9726666667	0.4666666667	
84116.5540400147	84202.9024124146	316.4435343241	87246.8059264620	84116.5540400147	0.3827382168	1110.1873333333	0.4666666667	
84111.3414386908	84197.4208250642	314.1147841649	87123.3234961828	84111.3414386908	0.3847174150	1113.8213333333	0.4666666667	
84104.5423398415	84178.6055102944	314.8278671940	87163.0398919185	84104.5423398415	0.3852524913	1115.3673333333	0.4666666667	
84100.2423574527	84178.1764283776	315.2853724945	87140.6157511473	84100.2423574527	0.3850260591	1114.4453333333	0.4666666667	
84098.3166202903	84175.4210695624	314.9062732711	87212.9002057513	84098.3166202903	0.3834716174	1109.8066666667	0.4666666667	
84095.7945476969	84175.4210695624	316.4910690404	87418.9297945301	84095.7945476969	0.3842340675	1107.7746666667	0.4666666667	
84092.5423879425	84175.4210695624	316.0883689210	87106.3090728720	84092.5423879425	0.3839228125	1108.3720000000	0.4666666667	
84090.2362775803	84175.4210695624	317.6479255377	87425.3021445870	84090.2362775803	0.3828577347	1103.4113333333	0.4666666667	
84086.8331590295	84167.6319897175	317.1236973850	87389.9104293187	84086.8331590295	0.3835650522	1106.0753333333	0.4666666667	
84085.5851941307	84167.6319897175	316.9839590620	87303.7964409590	84085.5851941307	0.3840334998	1106.9820000000	0.4666666667	
84082.1301786105	84162.3343110085	318.6995650282	87419.2604964972	84082.1301786105	0.3845789409	1108.7100000000	0.4666666667	
84080.2751609683	84162.3343110085	319.2940387156	87662.9014075796	84080.2751609683	0.3867266979	1117.1506666667	0.4666666667	
84078.4803455075	84160.0355386734	318.4525099277	87368.0001788338	84078.4803455075	0.3839525663	1110.5960000000	0.4666666667	
84072.1386667093	84158.3535701036	320.2228935687	87208.4254779418	84072.1386667093	0.3837063737	1107.7420000000	0.4666666667	
84070.0661664208	84158.3535701036	321.3998157562	87335.1175058881	84070.0661664208	0.3849260610	1109.8326666667	0.4666666667	
84068.7285305063	84158.3535701036	321.3385760141	87102.8748082121	84068.7285305063	0.3837442964	1110.4760000000	0.4666666667	
84066.2363347411	84158.3535701036	321.1097209739	87380.5190443993	84066.2363347411	0.3835490009	1105.9793333333	0.4666666667	
84065.3261495630	84158.3535701036	321.3019066555	86939.3942665060	84065.3261495630	0.3826230584	1104.0953333333	0.4666666667	
84062.8434718649	84155.9396892786	320.5220377175	87254.0584870179	84062.8434718649	0.3847408433	1110.8853333333	0.4666666667	
84059.8616042733	84151.7664074898	319.3610707250	87303.3384597301	84059.8616042733	0.3842925325	1109.5560000000	0.4666666667	
84057.9809646805	84141.4066359401	319.8901847976	87382.7184097966	84057.9809646805	0.3833276950	1106.5353333333	0.4666666667	
84055.9934465090	84141.4066359401	319.2642067755	87123.4431336323	84055.9934465090	0.3826561184	1106.5746666667	0.4666666667	
84053.7061324716	84141.4066359401	318.1819849093	87018.7459754944	84053.7061324716	0.3796576170	1095.9660000000	0.4666666667	
84052.0503382881	84139.8623362184	318.2508451675	87280.5034591754	84052.0503382881	0.3821731805	1103.0246666667	0.4666666667	
84049.6702773372	84139.8045346141	318.3621796862	87354.3648297588	84049.6702773372	0.3841809234	1108.7100000000	0.4666666667	
84045.2305789789	84139.8045346141	315.1281318851	87405.2670342724	84045.2305789789	0.3843575365	1109.4500000000	0.4666666667	
84044.0166711807	84139.8045346141	315.2981064015	87193.1497449676	84044.0166711807	0.3791580583	1095.7746666667	0.4666666667	
84042.6764990886	84133.6219534278	315.7499143475	87217.4605812629	84042.6764990886	0.3810454302	1097.2373333333	0.4666666667	
84042.0316396157	84133.6219534278	315.2183323564	87205.3977813323	84042.0316396157	0.3816244773	1098.4933333333	0.4666666667	
84041.3760648171	84133.6219534278	315.0883780676	87481.4777831237	84041.3760648171	0.3827674963	1102.5333333333	0.4666666667	
84040.4985278845	84133.4419354796	315.9740169826	87106.1159140865	84040.4985278845	0.3789011167	1098.9933333333	0.4666666667	
84037.5338827570	84128.4613683820	315.4208547478	87172.2869585951	84037.5338827570	0.3815227307	1101.9453333333	0.4666666667	
84034.5122099916	84128.2845035195	316.1359677945	87170.3592095772	84034.5122099916	0.3795028566	1094.6446666667	0.4666666667	
84031.7448309064	84128.2845035195	314.9456656772	87362.3863375187	84031.7448309064	0.3812394810	1100.8566666667	0.4666666667	
84030.1388067007	84128.2845035195	314.0039275044	87120.5405323704	84030.1388067007	0.3794968548	1092.8993333333	0.4666666667	
84029.1655655702	84127.4318888783	314.0168557088	87093.3545884490	84029.1655655702	0.3809283765	1097.4640000000	0.4666666667	
84028.2111708323	84123.1084570289	314.3214807473	87508.7840805451	84028.2111708323	0.3825102340	1097.9380000000	0.4666666667	
84027.4281690518	84119.8047533631	314.2672129279	87149.9665081501	84027.4281690518	0.3791369854	1089.4506666667	0.4666666667	
84026.1659950018	84119.8047533631	314.1565283668	87023.7863326073	84026.1659950018	0.3763834314	1085.2013333333	0.4666666667	
84025.3566680352	84119.8047533631	313.5899983633	87262.5250703096	84025.3566680352	0.3778451843	1084.6440000000	0.4666666667	
84022.7755610148	84119.8047533631	313.8442007402	87241.9669540723	84022.7755610148	0.3791861564	1090.5553333333	0.4666666667	
84020.6427431107	84119.8047533631	314.2976018640	87038.8690413038	84020.6427431107	0.3810231654	1097.0113333333	0.4666666667	
84018.5581676165	84119.8047533631	315.6821586345	87107.5444745024	84018.5581676165	0.3749976128	1080.0973333333	0.4666666667	
84016.5403509140	84113.2403507829	316.0623509275	87226.5766125917	84016.5403509140	0.3800191173	1087.9046666667	0.4666666667	
84015.3087047736	84113.2403507829	316.5103890310	87190.3922713796	84015.3087047736	0.3764460665	1079.5600000000	0.4666666667	
84013.7851597865	84113.0511477590	317.5743064661	87217.7806471785	84013.7851597865	0.3770681292	1084.0413333333	0.4666666667	
84013.4085303545	84113.0511477590	318.1232381161	87165.8443087339	84013.4085303545	0.3771999104	1083.6220000000	0.4666666667	
84012.2596917550	84113.0511477590	318.9856209245	87408.8705072800	84012.2596917550	0.3803158462	1091.1160000000	0.4666666667	
84011.5096020699	84110.6501623988	318.7360122585	87200.3195354342	84011.5096020699	0.3770831579	1087.2113333333	0.4666666667	
84010.1654160023	84108.3165928721	318.6192381115	87156.1421714226	84010.1654160023	0.3815650307	1096.5513333333	0.4666666667	
