Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
92829.3783633908	93123.0133816600	803.2702331669	100224.1904477278	92829.3783633908	0.8528301848	2251.4673333333	0.0000000000	
90537.7639425794	90706.4550176263	744.5408848110	96085.9114087621	90537.7639425794	0.7823674504	2157.5480000000	0.0000000000	
89035.1804626981	88957.6762467623	644.8074641672	92795.5950471759	89035.1804626981	0.7137772088	2035.1653333333	0.0000000000	
88099.6887801091	87910.7419431210	629.1872619490	91470.6931405266	88099.6887801091	0.6685289081	1943.1166666667	0.0000000000	
87474.2508908113	87466.9981092215	541.5075612998	90779.5858120918	87474.2508908113	0.6369505048	1874.4626666667	0.0000000000	
87200.7186543941	87238.9081716537	460.3505524692	90098.0259241660	87200.7186543941	0.6167259405	1833.8560000000	0.0000000000	
86872.0665260156	86851.9625619054	499.0747266557	90119.6647576491	86872.0665260156	0.6038336636	1798.3980000000	0.0000000000	
86722.0124073823	86685.5503782630	463.3263973535	89612.7165223161	86722.0124073823	0.5923859864	1773.2206666667	0.0333333333	
86588.7746441364	86535.6028616428	411.3971094336	89441.6530704498	86588.7746441364	0.5830152720	1748.4813333333	0.0333333333	
86437.1369219820	86461.4406257868	427.1299659012	89443.0279218157	86437.1369219820	0.5773598378	1738.8493333333	0.0666666667	
86366.2276335557	86339.5137116313	434.9090007939	89210.3296078245	86366.2276335557	0.5706768285	1725.6273333333	0.0666666667	
86325.6979971131	86399.9408274889	473.4037647773	89183.1016757091	86325.6979971131	0.5664551638	1721.9393333333	0.0666666667	
86268.4459868073	86344.7811886668	399.1092073106	89277.7013255159	86268.4459868073	0.5640300816	1712.9826666667	0.1000000000	
86205.9969724218	86248.7688943744	416.9752440888	89273.8648684819	86205.9969724218	0.5614756837	1709.6886666667	0.1666666667	
86180.8189783494	86176.3582795858	425.1519568828	89294.4457611442	86180.8189783494	0.5564288775	1699.3686666667	0.1333333333	
86115.5656182766	86097.2062110901	430.7267841872	89057.5710180402	86115.5656182766	0.5528438174	1688.0713333333	0.2333333333	
86122.0261933406	86192.0482575893	339.5293056420	88930.1767560840	86122.0261933406	0.5505649575	1684.7180000000	0.1666666667	
86072.5804134210	86087.5998839736	407.5411045970	88927.0350439350	86072.5804134210	0.5480671470	1677.7840000000	0.2333333333	
86060.1764532924	86002.9926672578	419.3348535904	88908.2547765970	86060.1764532924	0.5461212814	1674.7746666667	0.2666666667	
85968.4520925085	85907.0424705744	417.9535228982	88929.9511242906	85968.4520925085	0.5446622407	1671.3786666667	0.3333333333	
85983.7701997161	85983.6206659675	366.8246077169	88865.9446037809	85983.7701997161	0.5429698140	1663.6680000000	0.2666666667	
85945.6031659245	85974.8437985778	449.0471484825	88857.3715868592	85945.6031659245	0.5431092276	1667.2880000000	0.3333333333	
85941.7201392849	85873.3097538352	441.5832023600	88826.8704862396	85941.7201392849	0.5435669541	1666.8620000000	0.3333333333	
85908.5847732425	85847.2455769777	420.0957880408	88838.6941128969	85908.5847732425	0.5410651182	1662.1040000000	0.4666666667	
85863.6403236787	85808.4071740508	444.7763420415	88616.4565600951	85863.6403236787	0.5408012839	1661.8093333333	0.4000000000	
85924.3187691768	85936.2339094281	429.6053906581	88903.4455849727	85924.3187691768	0.5414799344	1661.8313333333	0.3666666667	
85944.6809829275	85947.8730380535	428.7675043447	88902.7880224586	85944.6809829275	0.5407337618	1658.5273333333	0.3333333333	
