Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
90059.2032787204	89894.3753436208	675.3480134476	93214.3467600147	90059.2032787204	0.7919798462	1729.9266666667	0.0000000000	
88000.7104937236	87988.3813321590	508.7822641202	89567.1113191048	88000.7104937236	0.6245873696	1280.6366666667	0.0000000000	
86930.5139565468	86902.0314127207	509.1647075507	87807.1634261807	86930.5139565468	0.4795319431	879.3233333333	0.0000000000	
86272.4001888434	86226.6107186675	524.5258406238	86788.3232243856	86272.4001888434	0.3582821316	624.5560000000	0.0000000000	
85838.3115949233	85824.7299507260	518.7044546095	86160.6416426102	85838.3115949233	0.2599661380	421.3486666667	0.0000000000	
85510.5180649956	85483.4944620728	499.4979251280	85737.9138263067	85510.5180649956	0.1898920708	280.5740000000	0.0000000000	
85318.0146135886	85327.8067544103	494.0778470834	85448.8183225195	85318.0146135886	0.1248538167	151.0806666667	0.0000000000	
85192.7255074183	85214.7850930691	488.9215113216	85279.0433200200	85192.7255074183	0.0942787539	103.0760000000	0.0666666667	
85102.1693489949	85147.9100972414	484.7641398139	85163.0880322059	85102.1693489949	0.0661181943	67.4120000000	0.0666666667	
85031.1225430171	85043.6360597610	476.5412093914	85073.2254448533	85031.1225430171	0.0433913859	34.7433333333	0.1000000000	
84972.3610391219	84983.8149338961	474.5733986545	85005.5748646458	84972.3610391219	0.0305177041	19.8146666667	0.1666666667	
84925.4129260778	84941.9412910938	474.8380444914	84955.0479205449	84925.4129260778	0.0264380797	15.0326666667	0.1666666667	
84888.7701463699	84901.5665084124	477.4467399905	84911.1492439111	84888.7701463699	0.0221992735	10.5473333333	0.2333333333	
84855.8471966783	84859.0764582157	474.4662926546	84874.6979884307	84855.8471966783	0.0183951207	8.3246666667	0.2666666667	
84824.7136893868	84787.0344370604	473.8505527343	84844.0949447950	84824.7136893868	0.0160806672	6.6926666667	0.3000000000	
84802.1564249198	84761.9147926569	466.1251373290	84812.8842789928	84802.1564249198	0.0108324491	3.5093333333	0.3000000000	
84780.4829633236	84753.2068908215	465.9169218855	84793.8912743330	84780.4829633236	0.0111262212	3.1780000000	0.3000000000	
84764.1541829705	84711.1260741949	466.1217263465	84773.8132782777	84764.1541829705	0.0092213191	2.7826666667	0.3000000000	
84750.4154542089	84694.5964530110	465.8208563507	84757.6345805327	84750.4154542089	0.0077557029	2.0060000000	0.3333333333	
84730.6362902125	84673.0623915792	463.7438890456	84742.3268939058	84730.6362902125	0.0085111154	2.1753333333	0.3666666667	
84713.0728515983	84654.3451949954	461.9223279961	84724.1550977031	84713.0728515983	0.0067852966	2.3566666667	0.3666666667	
84698.5779341062	84637.7092674375	457.0236877496	84706.3354792197	84698.5779341062	0.0058229757	1.3840000000	0.3666666667	
84687.0107409358	84624.1319492459	455.7572292597	84693.4725526969	84687.0107409358	0.0057334049	1.1393333333	0.3666666667	
84676.3782945275	84622.0385119319	450.8303149447	84682.1307115753	84676.3782945275	0.0041024671	1.1340000000	0.3666666667	
84664.7511874636	84616.3805767894	450.2865506566	84670.8517312010	84664.7511874636	0.0050873286	1.4333333333	0.3666666667	
84654.8875660698	84611.3366588950	451.7902996029	84661.7823677262	84654.8875660698	0.0058803881	1.6900000000	0.3666666667	
