Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
89493.3983911077	89571.7878088355	420.3248317173	93028.0427045624	89493.3983911077	0.6753695608	1122.8860000000	0.0000000000	
87388.9302439491	87362.1073260903	389.3359218984	88854.6424320340	87388.9302439491	0.4104322985	538.4393333333	0.0000000000	
86424.2551555236	86411.5987688303	376.9488265789	87012.3421653112	86424.2551555236	0.2534794708	273.9226666667	0.0000000000	
85946.9935366511	85922.8148609400	387.4141864095	86266.4694896340	85946.9935366511	0.1591474143	145.4926666667	0.0000000000	
85669.4905880094	85666.3484886289	407.2902127307	85857.6044221719	85669.4905880094	0.1121384043	78.2886666667	0.0000000000	
85489.5457716783	85486.1699476838	423.7245775111	85635.8244559169	85489.5457716783	0.0701847059	44.9040000000	0.0333333333	
85397.1368063490	85381.9282263517	428.6833227739	85485.5840248863	85397.1368063490	0.0359316206	22.0840000000	0.1000000000	
85326.5962526202	85306.8737760186	431.6590350512	85384.8045276602	85326.5962526202	0.0228114170	12.5520000000	0.1000000000	
85270.8176611861	85225.3204554319	435.6496898483	85310.6166814764	85270.8176611861	0.0154074897	8.8093333333	0.1000000000	
85217.9587535063	85156.5349042416	443.3147470161	85243.7543673317	85217.9587535063	0.0116075091	6.2413333333	0.1000000000	
85176.3953496019	85121.5284541249	442.3136261992	85198.0472284555	85176.3953496019	0.0071471040	3.0860000000	0.1666666667	
85147.0848986506	85079.4907301664	450.0331546575	85166.3101724784	85147.0848986506	0.0052542580	2.0113333333	0.2000000000	
85116.3467485706	85058.8012054563	445.5950470082	85128.6690534155	85116.3467485706	0.0046333889	1.4753333333	0.2000000000	
85086.5275118748	85032.3351249099	433.8383460608	85099.9291024605	85086.5275118748	0.0053769651	1.8860000000	0.2333333333	
85063.7258697550	85015.0060668588	431.0893543183	85071.3751255472	85063.7258697550	0.0037416592	1.5926666667	0.2666666667	
85045.1969914635	85007.5722143054	429.2634028137	85050.5319318175	85045.1969914635	0.0033577804	0.7826666667	0.2666666667	
85031.3751005133	84975.4365131259	433.2425544235	85033.8403806090	85031.3751005133	0.0009826524	0.3240000000	0.2666666667	
85015.7171795766	84961.2259492278	431.8714850718	85019.1898056865	85015.7171795766	0.0032303340	0.4473333333	0.3000000000	
84999.5222000281	84947.8868409991	436.2178084501	85003.8252671560	84999.5222000281	0.0036548103	0.8980000000	0.3000000000	
84987.7430030704	84938.7723490596	435.1759008840	84994.1527305047	84987.7430030704	0.0024533871	0.8953333333	0.3333333333	
84974.0401359399	84936.9804337621	438.9226846805	84979.1676477591	84974.0401359399	0.0021010305	0.7266666667	0.3666666667	
84960.9465972583	84935.4309305549	440.0551807111	84964.3787073096	84960.9465972583	0.0028099324	0.7660000000	0.4000000000	
84952.3565143347	84930.8119848371	443.0584151303	84956.0326544444	84952.3565143347	0.0018032179	0.4573333333	0.4000000000	
84938.6181477706	84926.6024783254	437.4561406443	84942.7247794469	84938.6181477706	0.0019600347	0.7086666667	0.4000000000	
84931.9763318698	84922.4259495735	437.6008394434	84935.2216950059	84931.9763318698	0.0023933893	0.5613333333	0.4000000000	
84920.2370176713	84918.7672346830	439.8199752387	84927.5453968843	84920.2370176713	0.0025131313	0.7333333333	0.4000000000	
84909.6440892418	84895.9095716476	440.8569342551	84917.3612535993	84909.6440892418	0.0027270871	1.3233333333	0.4000000000	
84898.9998643597	84889.3886238337	440.3770454043	84901.1906599005	84898.9998643597	0.0013704054	0.4813333333	0.4000000000	
84893.6156563957	84881.6037058830	439.6506234351	84894.9105432630	84893.6156563957	0.0009566755	0.5193333333	0.4000000000	
84886.3275850813	84879.5950233936	438.7499997767	84887.9877478878	84886.3275850813	0.0008192543	0.2753333333	0.4000000000	
84880.5594604214	84871.4394271374	437.7749430319	84882.7705932657	84880.5594604214	0.0012744624	0.4060000000	0.4000000000	
84874.5450179776	84865.3259009123	438.1212341970	84877.6767459512	84874.5450179776	0.0011322218	0.3540000000	0.4333333333	
84869.5973407229	84856.9761306047	437.7522495274	84870.5449484785	84869.5973407229	0.0008180600	0.1600000000	0.4333333333	
84865.1395731171	84846.2113291025	435.8211629960	84866.8045879404	84865.1395731171	0.0014666023	0.3093333333	0.4333333333	
84860.8832477530	84843.7484234571	435.0383668023	84863.8694065809	84860.8832477530	0.0019171666	0.3680000000	0.4333333333	
84856.6161933541	84843.2545542717	434.0565445915	84858.3254209161	84856.6161933541	0.0008174874	0.2806666667	0.4333333333	
84853.6306834221	84843.2545542717	434.1402076104	84854.4663572311	84853.6306834221	0.0015288090	0.2826666667	0.4333333333	
84848.9427477121	84842.3376083374	435.2696376254	84850.6878079971	84848.9427477121	0.0009762899	0.2220000000	0.4333333333	
84843.1839506825	84839.6917298436	438.4302538545	84845.1255458593	84843.1839506825	0.0016605967	0.4186666667	0.4333333333	
84840.8015254140	84833.3507373929	438.5165723573	84841.7911762993	84840.8015254140	0.0006014571	0.2293333333	0.4333333333	
84838.6957988143	84831.8249836564	438.1353201106	84839.3642204006	84838.6957988143	0.0004263258	0.0986666667	0.4333333333	
84835.7932336132	84816.2183001637	437.5882474574	84836.3152475158	84835.7932336132	0.0003807737	0.2040000000	0.4666666667	
84830.6547519565	84811.5188851953	437.5291348787	84833.4201177955	84830.6547519565	0.0008495796	0.1300000000	0.4666666667	
84827.8534989556	84805.6036725640	437.0393977320	84828.4835057457	84827.8534989556	0.0006301418	0.0473333333	0.4666666667	
84821.4377447963	84791.5083557367	436.4337091638	84821.9364657998	84821.4377447963	0.0002573353	0.1040000000	0.5000000000	
84818.9369843404	84791.5083557367	436.6766266045	84820.3442947070	84818.9369843404	0.0009000323	0.2346666667	0.5000000000	
84815.8730412523	84778.8268879056	435.5435651742	84817.7246413628	84815.8730412523	0.0007305763	0.3226666667	0.5000000000	
84813.0403599143	84762.0544925332	435.3914482132	84813.9088597894	84813.0403599143	0.0004821462	0.1000000000	0.5000000000	
84810.5300942063	84759.4064816833	435.4417780990	84811.8078560631	84810.5300942063	0.0007461331	0.1506666667	0.5000000000	
84806.6776310404	84756.0369834304	434.6890209305	84808.2645838459	84806.6776310404	0.0007601507	0.1546666667	0.5333333333	
