Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
89938.8248962164	90047.6350232959	649.9733643918	101916.1318504810	89938.8248962164	0.8483860767	1986.8640000000	0.0000000000	
88026.9062549869	88124.4017556310	393.3711471403	100734.1630333662	88026.9062549869	0.7666659725	1689.9173333333	0.0000000000	
86946.1260107160	86951.1569231749	418.1548165391	99502.6784120997	86946.1260107160	0.6771056151	1465.6900000000	0.0000000000	
86267.3471998175	86323.6802965403	446.6116857555	97432.3710243901	86267.3471998175	0.6029720964	1298.2006666667	0.0000000000	
85789.6199362477	85813.0147159100	423.0641098267	94598.7951744596	85789.6199362477	0.5181520665	1105.9133333333	0.0000000000	
85455.9279836218	85417.4619033933	420.4066475821	91931.7882642150	85455.9279836218	0.4501425038	944.9800000000	0.0000000000	
85228.0999282996	85229.2270943522	425.5009873290	90261.3636766871	85228.0999282996	0.3937174634	830.2486666667	0.0000000000	
85050.2239190539	85066.2741228938	424.7967610997	89027.5950431824	85050.2239190539	0.3385893972	693.8880000000	0.0000000000	
84922.1531985203	84935.1369872689	419.1267086913	87961.3753182689	84922.1531985203	0.2927804396	600.0980000000	0.0333333333	
84811.8267120918	84826.4610320330	422.6779974369	87215.9441572428	84811.8267120918	0.2569378951	518.3626666667	0.0666666667	
84731.7150818308	84750.3393277526	427.0452048670	86410.8545046051	84731.7150818308	0.2203876048	437.6473333333	0.1000000000	
84671.7090947429	84697.9549780488	429.6426017740	85771.3127535582	84671.7090947429	0.1825504612	361.5826666667	0.1333333333	
84621.4795840780	84639.5712450147	429.5268398900	85568.8092030088	84621.4795840780	0.1609755245	306.5453333333	0.1666666667	
84573.9504294594	84605.6177839637	420.0748172631	85370.9135140975	84573.9504294594	0.1422176496	272.1966666667	0.1666666667	
84542.3987237612	84583.5017785430	418.0070893529	85191.2465339899	84542.3987237612	0.1233829495	229.2493333333	0.2333333333	
84512.8240055839	84569.1039487720	412.7055114707	85012.6385354996	84512.8240055839	0.1108969672	202.3426666667	0.2333333333	
84485.3174136082	84528.5282626748	409.4217638249	84965.6769612432	84485.3174136082	0.1056598551	192.1566666667	0.2666666667	
84463.3814943830	84482.5168684125	406.1755633844	84906.9987273216	84463.3814943830	0.0981680625	176.8206666667	0.2666666667	
84441.6156717141	84449.5110645890	401.4948996253	84785.0023088853	84441.6156717141	0.0896100875	160.5940000000	0.3333333333	
84422.3922588428	84430.3698971868	400.1521634489	84752.4946078658	84422.3922588428	0.0824196433	146.4520000000	0.3333333333	
84406.2068196138	84411.7402538657	394.8780167505	84693.7735307217	84406.2068196138	0.0758975901	131.3873333333	0.3333333333	
84390.5456699928	84386.9330629706	392.7420492369	84654.4088618954	84390.5456699928	0.0734189615	127.0473333333	0.3333333333	
84380.2081907789	84375.8587256074	392.0028102880	84603.3297917247	84380.2081907789	0.0688578607	119.7393333333	0.3333333333	
84367.6712515950	84365.1038303971	390.8012950120	84570.3604758779	84367.6712515950	0.0663625693	114.4786666667	0.3333333333	
84356.2716243664	84354.2037531734	389.6548025510	84535.5696115891	84356.2716243664	0.0613129138	106.5893333333	0.3333333333	
84344.1547604402	84347.2478434443	388.1370463979	84515.8509735266	84344.1547604402	0.0605916798	103.1793333333	0.3333333333	
84336.1339153846	84340.1530936360	388.9072546291	84498.3244973421	84336.1339153846	0.0553878169	94.9513333333	0.3666666667	
84329.7785960635	84338.1203427911	388.6765722850	84482.1418728431	84329.7785960635	0.0533730747	90.6300000000	0.3666666667	
84323.6211642623	84328.7648484111	388.2232922906	84460.5767128865	84323.6211642623	0.0510330720	85.3253333333	0.4000000000	
84313.8802376390	84326.7306849360	386.3262987823	84449.2023534576	84313.8802376390	0.0506223730	87.6340000000	0.4000000000	
84304.7600864371	84322.9720875621	388.5459058436	84442.5444339712	84304.7600864371	0.0498510829	83.9640000000	0.4000000000	
84299.5229406158	84320.5967977643	387.0845520012	84422.9785017173	84299.5229406158	0.0471098776	79.3986666667	0.4000000000	
84292.8771910071	84311.9104102254	387.1998058314	84406.7903582255	84292.8771910071	0.0449620929	72.7986666667	0.4000000000	
84288.3210602403	84310.3303238750	388.1496803584	84395.8157523473	84288.3210602403	0.0432196974	71.4606666667	0.4333333333	
84283.3466830850	84307.2695836425	387.9958936551	84392.0176600416	84283.3466830850	0.0438683330	73.5126666667	0.4333333333	
84278.6903338631	84302.5619760156	386.7946883742	84384.4504242142	84278.6903338631	0.0428725665	72.3766666667	0.4333333333	
84274.9685963988	84298.8432481885	386.7256889828	84372.4673578143	84274.9685963988	0.0411100920	68.9473333333	0.4333333333	
84271.5839629372	84295.0668349862	387.3610839698	84361.0802490513	84271.5839629372	0.0389799135	65.7633333333	0.4333333333	
84266.9094096621	84289.7559121251	389.4322224325	84358.5795608163	84266.9094096621	0.0395304423	65.9560000000	0.4333333333	
84261.8926595648	84288.6813566089	387.0294003816	84355.6719345848	84261.8926595648	0.0390969416	66.3080000000	0.4333333333	
84258.9049280683	84287.5675633550	387.2427763604	84350.2766085664	84258.9049280683	0.0376469139	64.2060000000	0.4333333333	
84255.4665324092	84286.6923257709	387.3473026985	84336.4430100719	84255.4665324092	0.0367193543	61.3500000000	0.4333333333	
84251.2680936853	84284.4829544425	388.2485636671	84330.0352641940	84251.2680936853	0.0372947526	61.2540000000	0.4333333333	
84248.5349866748	84282.1055158973	386.8260209313	84324.6223150690	84248.5349866748	0.0366380466	59.7546666667	0.4333333333	
84244.0607073903	84281.3699409366	385.4732161148	84324.1178938746	84244.0607073903	0.0364651756	60.8400000000	0.4666666667	
84240.7863043745	84278.2100066543	384.7339920504	84322.8809308012	84240.7863043745	0.0368888041	61.7306666667	0.4666666667	
84237.4418756366	84276.8463715911	383.6417635225	84318.0742846926	84237.4418756366	0.0365552702	60.5206666667	0.4666666667	
84234.6173253655	84276.5234962106	382.0168230669	84316.6120289763	84234.6173253655	0.0369200655	60.1913333333	0.4666666667	
84229.7414661447	84275.4114851356	378.5739011149	84309.5388101538	84229.7414661447	0.0367804155	59.0260000000	0.4666666667	
84226.9416752458	84275.2790406346	379.0008919326	84303.9801328381	84226.9416752458	0.0362095171	59.8586666667	0.4666666667	
84224.7907488545	84275.0845983624	379.1797859054	84297.9880338907	84224.7907488545	0.0354122609	58.1740000000	0.4666666667	
84221.8748465180	84273.8138183951	378.3701295666	84291.7368392150	84221.8748465180	0.0342881972	54.2353333333	0.4666666667	
84220.0304274758	84272.1427127719	378.0439756434	84286.9635063410	84220.0304274758	0.0341325079	54.3333333333	0.4666666667	
84216.6802428166	84267.6898673177	377.6938889063	84283.9206218719	84216.6802428166	0.0335289156	54.3526666667	0.4666666667	
84214.9690232674	84266.2050113082	377.4513072801	84279.1628257434	84214.9690232674	0.0330734756	53.8120000000	0.4666666667	
84212.7955285708	84262.6184806228	377.6701678890	84275.2542202671	84212.7955285708	0.0331006920	54.3100000000	0.4666666667	
84210.0628592571	84259.9782362580	378.3235699895	84272.2884939114	84210.0628592571	0.0332268243	54.0800000000	0.4666666667	
84207.0567750931	84259.1446533799	379.6703741878	84269.6678896745	84207.0567750931	0.0325464435	53.2873333333	0.4666666667	
84203.1551724672	84258.8923528790	381.4288941817	84264.7851996620	84203.1551724672	0.0318709874	52.1233333333	0.4666666667	
84200.3406830629	84258.5111215711	382.6209537460	84261.3873982430	84200.3406830629	0.0313147485	50.1500000000	0.4666666667	
84199.2047413190	84258.1299588084	382.6553759674	84252.0195678870	84199.2047413190	0.0304400349	49.3480000000	0.4666666667	
84197.9005891085	84257.7900722623	382.6714164453	84247.3060349623	84197.9005891085	0.0294859914	47.2366666667	0.4666666667	
84195.2225404978	84248.3033165336	383.3404872200	84240.3714392583	84195.2225404978	0.0282319624	45.6873333333	0.4666666667	
84191.9965304931	84241.5236100554	381.9839598679	84238.9565715194	84191.9965304931	0.0285077088	45.3793333333	0.4666666667	
84185.1618276040	84232.6682344079	377.4080381547	84236.7848693331	84185.1618276040	0.0285728108	44.6826666667	0.4666666667	
84180.8188140392	84221.8674793839	376.8460464454	84233.8063039382	84180.8188140392	0.0290482685	45.6200000000	0.4666666667	
84177.0277863741	84213.1568744779	375.9489444651	84230.3037361304	84177.0277863741	0.0287377743	46.1360000000	0.5000000000	
84173.6001950502	84199.8965844512	375.0914086380	84225.7288749019	84173.6001950502	0.0297948911	47.4946666667	0.5000000000	
84170.7612156868	84189.6057441831	374.7719199899	84224.3801591794	84170.7612156868	0.0297122253	48.8473333333	0.5333333333	
84169.7843647003	84185.9843954444	374.7145335679	84221.2302106619	84169.7843647003	0.0287557361	45.7840000000	0.5333333333	
84168.0612164736	84184.5546051860	374.4525742865	84219.3669841687	84168.0612164736	0.0278837043	45.1080000000	0.5333333333	
84165.2897237738	84176.3709172606	374.5966600607	84214.6075926224	84165.2897237738	0.0269892251	41.8493333333	0.5333333333	
84162.7361435692	84175.0203475356	374.0043568492	84212.4923288822	84162.7361435692	0.0278399441	43.8580000000	0.5333333333	
84160.9667361776	84171.8142613769	373.8036498949	84211.2642271320	84160.9667361776	0.0282114404	44.1460000000	0.5333333333	
84158.7441844742	84171.1556926370	373.5141097180	84209.4130645196	84158.7441844742	0.0285419737	45.6766666667	0.5333333333	
84156.5575179458	84171.1062952876	373.7123397361	84195.8939371506	84156.5575179458	0.0278144493	43.2020000000	0.5333333333	
84155.5017253757	84170.4634740949	373.8444775145	84193.4959425529	84155.5017253757	0.0274564090	42.9873333333	0.5333333333	
84153.7666401267	84170.0423315167	373.9302796624	84191.7705247800	84153.7666401267	0.0274445167	41.8366666667	0.5333333333	
84152.0917877555	84169.7492614388	373.6973694597	84188.7206998467	84152.0917877555	0.0267475678	42.1666666667	0.5333333333	
84151.2012681365	84169.0986856818	373.5179877813	84193.5777436693	84151.2012681365	0.0263404928	41.1420000000	0.5333333333	
