Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
90116.8623774250	90058.6958944798	416.0555006280	95564.9730963508	90116.8623774250	0.7843419420	1718.3433333333	0.0000000000	
88154.0046990911	88132.0196241140	427.4542314150	91776.9114355246	88154.0046990911	0.6384664252	1351.6793333333	0.0000000000	
87085.4189158479	87071.9628691673	488.9070830288	89194.2167791724	87085.4189158479	0.4921576079	938.0313333333	0.0000000000	
86411.4775559306	86438.4873613715	510.7149288728	87707.4898415804	86411.4775559306	0.3732418990	682.6426666667	0.0000000000	
85995.8255359530	86030.4316565394	544.3956941436	86698.6945941051	85995.8255359530	0.2715513184	462.0613333333	0.0000000000	
85716.6868844628	85746.7436432838	569.1164243988	86078.7441506982	85716.6868844628	0.1777992637	263.1680000000	0.0000000000	
85536.3229450583	85546.4151948690	587.8828456706	85777.2231364250	85536.3229450583	0.1270394363	167.6380000000	0.0333333333	
85391.5539768338	85395.8929970860	578.3897995303	85562.8846058249	85391.5539768338	0.0948321972	119.0293333333	0.0333333333	
85283.6398725708	85289.8694068193	579.1561085382	85419.7990209858	85283.6398725708	0.0741790631	88.9360000000	0.1000000000	
85211.6039654613	85200.0101923943	588.9337413951	85305.9001975258	85211.6039654613	0.0567854514	56.9540000000	0.1666666667	
85152.1163074176	85110.4347735643	589.0984934875	85218.1848620375	85152.1163074176	0.0418614108	33.4080000000	0.2000000000	
85112.6320596536	85058.1064820290	589.2524205007	85159.2052243153	85112.6320596536	0.0290917720	20.9200000000	0.2333333333	
85076.2089649836	85031.6357389092	594.0670697332	85119.9359957377	85076.2089649836	0.0261039696	16.4353333333	0.2666666667	
85038.9213525255	85012.4232545495	595.0272602436	85087.1463624636	85038.9213525255	0.0247434401	14.8746666667	0.2666666667	
85005.2540800969	84979.5274034142	598.7377546131	85048.9588705699	85005.2540800969	0.0214408352	14.3080000000	0.3000000000	
84976.5598049760	84953.5964086652	596.7451711163	85010.6250927846	84976.5598049760	0.0175201113	9.6600000000	0.3000000000	
84949.7076795499	84919.9056401849	599.3056437148	84981.0551443696	84949.7076795499	0.0180316302	10.1660000000	0.3000000000	
84922.7480731408	84893.7050923705	601.1449145922	84956.9123266141	84922.7480731408	0.0191937595	10.6020000000	0.3000000000	
84902.8509401282	84878.3791691065	598.4213996020	84930.2073917786	84902.8509401282	0.0157549963	8.6626666667	0.3000000000	
84880.1258503397	84858.9446574450	603.9601253910	84906.1588232716	84880.1258503397	0.0156508606	7.9233333333	0.3000000000	
84864.6949541569	84849.2974489927	601.7823243210	84884.0488647421	84864.6949541569	0.0120169221	5.7593333333	0.3000000000	
84852.6939804355	84845.3231662512	601.9592620456	84871.3624737660	84852.6939804355	0.0091666588	3.6113333333	0.3000000000	
84833.4829960267	84826.4523267746	600.8752459117	84856.5116027991	84833.4829960267	0.0122172492	5.2740000000	0.3000000000	
84818.6105077465	84811.7580071092	600.4648603986	84842.1660375595	84818.6105077465	0.0116587847	4.7466666667	0.3000000000	
84807.8025459250	84801.1908307672	601.0265233729	84822.1519224842	84807.8025459250	0.0080478536	2.4446666667	0.3000000000	
84798.5545713703	84792.2706738114	600.2338458598	84809.6508392692	84798.5545713703	0.0079101604	1.9306666667	0.3000000000	
84790.2586442232	84788.6827155948	599.5754740802	84800.6385768453	84790.2586442232	0.0068798856	2.5846666667	0.3000000000	
84777.5812757015	84778.0815735459	599.2547998643	84792.4794002374	84777.5812757015	0.0090328262	3.2253333333	0.3333333333	
84769.6898368994	84772.0331862569	598.0813911598	84780.4705323776	84769.6898368994	0.0074549902	2.7906666667	0.3333333333	
84760.0954634945	84761.8588432670	595.4337932269	84773.0511383216	84760.0954634945	0.0081963628	3.6920000000	0.3333333333	
84751.9555380940	84747.7279558778	593.6791138468	84762.7045260866	84751.9555380940	0.0079656096	2.6280000000	0.3666666667	
84745.7286289334	84742.3528179526	595.1683550449	84752.4153793852	84745.7286289334	0.0051216362	1.7800000000	0.3666666667	
