Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
90629.5079032580	90625.7477581501	630.0607738026	101954.1979758938	90629.5079032580	0.8780296160	2278.7120000000	0.0000000000	
89106.8978419900	89050.8018583059	478.1347427025	101543.4631851315	89106.8978419900	0.8679485425	2270.9606666667	0.0000000000	
88356.1899075906	88362.6204684377	355.0036915271	101398.8977382580	88356.1899075906	0.8615975221	2267.6280000000	0.0000000000	
87847.7010751764	87858.5673317313	348.8885657073	101250.8771272500	87847.7010751764	0.8563680331	2260.0840000000	0.0000000000	
87501.3217970729	87547.4496990442	341.6139231346	101077.0261020462	87501.3217970729	0.8513244200	2248.2666666667	0.0000000000	
87258.3172784249	87324.2017835379	351.9253391419	101036.6820267836	87258.3172784249	0.8477728910	2246.1126666667	0.0000000000	
87030.9851454695	87055.9291511774	332.0255790685	100925.5615098278	87030.9851454695	0.8436072754	2240.4913333333	0.0000000000	
86839.5868375897	86862.0164275169	379.6978303756	100889.8457769553	86839.5868375897	0.8394155094	2231.3360000000	0.0000000000	
86681.2455438574	86708.0878823996	403.6997421724	100874.6974383791	86681.2455438574	0.8358357264	2223.0800000000	0.0000000000	
86503.8692238927	86537.8329515457	357.2281714435	100768.1520109375	86503.8692238927	0.8320390133	2217.2946666667	0.0000000000	
86411.4303943515	86450.3094598651	354.8854271342	100699.4408660134	86411.4303943515	0.8286500025	2210.2513333333	0.0000000000	
86305.7076108456	86338.9795616269	335.8419696407	100699.4408660134	86305.7076108456	0.8247717857	2199.6133333333	0.0000000000	
86234.8702012499	86281.5801173449	349.3943390689	100672.0138189197	86234.8702012499	0.8222864042	2199.6853333333	0.0000000000	
86127.0763569077	86164.3198281527	327.1821793737	100385.5350737770	86127.0763569077	0.8193225346	2193.4860000000	0.0000000000	
86082.4182127913	86139.5409971476	314.1674821667	100385.5350737770	86082.4182127913	0.8161391610	2186.6393333333	0.0000000000	
86006.6889709234	86056.0952588916	320.5757288180	100230.4219891628	86006.6889709234	0.8130805154	2181.1886666667	0.0000000000	
85930.6695012252	86037.1240705252	340.8681614228	100172.8839525580	85930.6695012252	0.8098916571	2175.8260000000	0.0000000000	
85865.6332849463	85958.1975236535	340.4558716506	99855.7792687416	85865.6332849463	0.8062602770	2167.4686666667	0.0000000000	
85819.1678863764	85880.5089250207	330.2949914762	99827.8312409918	85819.1678863764	0.8035073302	2159.9006666667	0.0000000000	
85766.8082716068	85849.1705223918	329.9463792134	99827.8312409918	85766.8082716068	0.8011918273	2159.2613333333	0.0000000000	
85731.7783542474	85805.3365305066	332.4978726736	99409.1129529476	85731.7783542474	0.7982401251	2154.2933333333	0.0000000000	
85647.6134796937	85713.0497738719	310.2632554170	99361.4823191365	85647.6134796937	0.7957483049	2147.8646666667	0.0000000000	
