Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
89910.6708220641	89820.8819493651	767.4886217907	102907.8316171964	89910.6708220641	0.8624420452	1877.6300000000	0.0000000000	
88463.2543434699	88509.6609115601	505.1729607642	102797.6719497641	88463.2543434699	0.8338889740	1653.1533333333	0.0000000000	
87625.7487578193	87581.3373655081	457.5546796840	102746.3743577401	87625.7487578193	0.8102074253	1501.3440000000	0.0000000000	
87118.5965491335	87195.8090946078	343.1405891472	102545.4730899135	87118.5965491335	0.7890624181	1378.0666666667	0.0000000000	
86698.0710777640	86670.9621235728	324.5429486193	102439.6643803517	86698.0710777640	0.7695691395	1296.1566666667	0.0000000000	
86364.9394611518	86292.1398878098	311.4294169072	102362.2267816464	86364.9394611518	0.7492553514	1215.5673333333	0.0000000000	
86117.1449341377	86071.2920844555	300.6594506812	102362.2267816464	86117.1449341377	0.7288262369	1144.9593333333	0.0000000000	
85887.3879213134	85833.5343867540	336.1076070910	102295.2170095841	85887.3879213134	0.7127875769	1073.0166666667	0.0000000000	
85694.6231377125	85661.1731857061	338.4765293751	101924.0326983730	85694.6231377125	0.6968650512	1056.8526666667	0.0000000000	
85567.1427298586	85582.4936389923	325.9578480802	101457.7182844281	85567.1427298586	0.6811980771	987.2166666667	0.0000000000	
85453.3929424485	85454.4617861509	325.7591698737	101086.8824285269	85453.3929424485	0.6653140129	930.7126666667	0.0000000000	
85347.8231324752	85357.8995078802	329.9391403069	101086.8824285269	85347.8231324752	0.6513343549	900.5693333333	0.0000000000	
85264.6329472462	85271.8190848827	348.2213765615	100859.0749242902	85264.6329472462	0.6383246794	863.8493333333	0.0000000000	
85167.2468007604	85153.7452504039	341.9871070611	100536.6336234411	85167.2468007604	0.6254169935	835.2653333333	0.0000000000	
85112.6451999943	85133.6696013808	343.4812336973	100302.0911046863	85112.6451999943	0.6104289159	799.1260000000	0.0000000000	
85060.3300652901	85103.6478087306	346.5403057877	100261.6520358125	85060.3300652901	0.5989020239	779.4313333333	0.0000000000	
85004.7629690170	85037.7436429262	355.8079300568	100100.5200251937	85004.7629690170	0.5878042995	742.7453333333	0.0666666667	
84956.3857672612	84972.3370403051	354.3980654665	99821.0694649816	84956.3857672612	0.5784570630	725.5533333333	0.0666666667	
84915.6458392739	84936.3873213530	359.5400943851	99699.8126559456	84915.6458392739	0.5694212779	703.6626666667	0.0666666667	
84873.6128877600	84895.5216467381	353.8548645343	99574.7690284252	84873.6128877600	0.5591088994	678.0100000000	0.0666666667	
84836.7688459158	84864.0338540077	356.7206039863	99384.5561706026	84836.7688459158	0.5501327450	652.1926666667	0.1000000000	
84801.1832828323	84833.5155487061	357.0802152396	99230.4411849380	84801.1832828323	0.5420779181	632.7613333333	0.1000000000	
84768.4952874978	84792.7722960711	354.3897058693	99131.2595326702	84768.4952874978	0.5347682913	614.4666666667	0.1666666667	
84744.9371537566	84751.9059196115	354.3928936163	98803.4899219871	84744.9371537566	0.5279280968	596.2266666667	0.1666666667	
84722.1244075894	84716.9505149126	353.4545621031	98743.6426026623	84722.1244075894	0.5198518120	575.6666666667	0.1666666667	
84699.6460348368	84677.0074948668	355.4924673312	98680.8669534326	84699.6460348368	0.5128249897	557.6406666667	0.1666666667	
84676.9864150882	84634.5973387361	351.1785048761	98352.2594051560	84676.9864150882	0.5062608143	549.1286666667	0.1666666667	
84655.2736557523	84625.7090657949	347.7082622817	97958.5447014372	84655.2736557523	0.4994512861	534.0513333333	0.1666666667	
84631.2769369284	84585.3843778372	339.6818274559	97958.5447014372	84631.2769369284	0.4942689939	524.0346666667	0.1666666667	
84613.8649457693	84553.9890542626	342.7291787338	97651.3554740946	84613.8649457693	0.4871424518	501.8580000000	0.1666666667	
