Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
89998.6754944921	90098.3697474003	627.3821750670	92014.3878769875	89998.6754944921	0.7241376226	1229.9913333333	0.0000000000	
87965.6260281801	87988.0330815911	531.4606237639	88982.2687762976	87965.6260281801	0.5252937953	665.1813333333	0.0000000000	
86917.4402828018	86971.7321515083	560.6991835396	87456.3582726320	86917.4402828018	0.3608294844	410.9966666667	0.0000000000	
86229.9487602711	86270.1606214046	430.1004339906	86567.6507400473	86229.9487602711	0.2529527734	262.5066666667	0.0000000000	
85820.6248625119	85874.7491106391	406.5987808917	86023.3039703965	85820.6248625119	0.1654816709	140.7726666667	0.0000000000	
85578.1877637903	85632.0920884609	416.5774860052	85681.5057813128	85578.1877637903	0.1124228342	85.7326666667	0.0000000000	
85422.1925203006	85499.9493911862	427.7046843064	85501.9142693281	85422.1925203006	0.0850355514	61.2006666667	0.0333333333	
85317.6109097401	85349.0849956870	432.6603960087	85364.2524621884	85317.6109097401	0.0548212334	32.3446666667	0.0333333333	
85236.5827556451	85243.6985477805	429.8688242908	85280.0555315614	85236.5827556451	0.0458105060	25.3420000000	0.0666666667	
85177.3729717731	85181.5834373236	434.7096834258	85206.7325421174	85177.3729717731	0.0334010509	16.5313333333	0.1000000000	
85118.2371421655	85076.8785595894	428.3680094310	85146.9319887956	85118.2371421655	0.0291992671	12.9006666667	0.1333333333	
85065.4731381933	85038.4542375803	424.3206594876	85089.5551834504	85065.4731381933	0.0228315565	8.9266666667	0.1666666667	
85031.6043276588	85001.2619107962	422.4828000985	85050.0944559773	85031.6043276588	0.0172339499	6.3066666667	0.1666666667	
84996.1611791452	84962.8527671099	429.5092368951	85016.1027775208	84996.1611791452	0.0179518509	5.5813333333	0.1666666667	
84963.7059227626	84925.2803847194	428.2803164462	84981.8131378293	84963.7059227626	0.0152997816	6.1506666667	0.1666666667	
84934.6180146933	84893.9796626568	420.8656083711	84950.5718365312	84934.6180146933	0.0131166140	4.3413333333	0.1666666667	
84911.5860365828	84869.8649004102	415.3701006911	84924.8893120885	84911.5860365828	0.0121823752	3.1973333333	0.1666666667	
84892.4566077193	84855.2966728806	414.0994025524	84903.5331681371	84892.4566077193	0.0105618964	3.1880000000	0.2333333333	
84873.5682222247	84825.9316250682	410.4374947317	84883.1763824821	84873.5682222247	0.0101524649	2.5406666667	0.2333333333	
84858.1515813867	84812.4037876725	408.9552236048	84865.9742119908	84858.1515813867	0.0094995807	2.4580000000	0.2333333333	
84842.2643612822	84799.5766773820	405.9363470272	84850.9662245711	84842.2643612822	0.0079650802	2.3440000000	0.2666666667	
84830.1669206222	84781.3044965267	403.3327008871	84837.6280565063	84830.1669206222	0.0061633139	1.3120000000	0.3000000000	
84813.5046837727	84765.3045445681	402.7720713347	84822.3490734895	84813.5046837727	0.0074433902	1.7180000000	0.3000000000	
84801.7271911104	84758.9680463076	404.3190598081	84808.6580830812	84801.7271911104	0.0058533678	1.4913333333	0.3333333333	
84791.8417870005	84756.8510055542	403.3014072353	84798.9160125454	84791.8417870005	0.0056124180	1.3526666667	0.3666666667	
84780.2365955710	84750.8923739195	401.7201752023	84786.4650104443	84780.2365955710	0.0057969460	1.3093333333	0.4000000000	
84762.5974339247	84735.0180462003	393.9882474172	84772.2953462601	84762.5974339247	0.0059821927	1.3053333333	0.4333333333	
84748.6597631375	84713.1245270371	390.5566531182	84756.7288349072	84748.6597631375	0.0051319489	1.0673333333	0.4333333333	
84740.2086592714	84701.7529696226	389.2397351715	84744.6923339367	84740.2086592714	0.0048828686	1.3400000000	0.4333333333	
84730.3620667259	84681.4789324999	389.8911919472	84736.3000523051	84730.3620667259	0.0061104925	1.5333333333	0.4333333333	
